codigo,codigo_inec,provincia,canton,parroquia,superficie_km2,shape_length,latitud,longitud,anio,mes,poblacion_2022,edad_promedio_2022,pct_mujeres_2022,pct_urbana_2022,hogares_2022,viviendas_2022,densidad_poblacional_2022,personas_por_hogar_2022,viviendas_por_km2_2022,indice_compacidad,precipitacion_mensual_prom_mm,precipitacion_mensual_p95_mm,precipitacion_anual_prom_mm,temperatura_media_prom_c,humedad_relativa_prom,cerca_rio_prom,periodos_climaticos_observados,eventos_inundacion,total_periodos,tasa_inundacion_historica,target_alto_riesgo,altitud_igm_m,pendiente_igm,rango_altitud_igm_m,probabilidad_inundacion,riesgo_categoria,prediccion_inundacion
90150,090150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2429.63844669,1666694.096325471,-2.3198827038413734,-80.01952355117237,2022,12,5200872.0,32.16963501505132,0.5108914428195888,0.9942598087397652,1534612.0,1844570.0,2140.5950367164173,3.389046873085835,759.1952631935573,0.010991063604474383,73.05888888888889,302.31,770.6775,27.462777777777777,66.37006944444445,1.0,144.0,42.0,144.0,0.2916666666666667,1.0,19.340171813964844,0.011330758395663639,24.771016120910645,0.9790746749779297,Alto,1
90152,090152,GUAYAS,GUAYAQUIL,JUAN GOMEZ RENDON (PROGRESO),322.752690547,118159.33303507122,-2.387647974168108,-80.34431592657445,2022,12,26466.0,29.080971812892013,0.49327438978311794,0.0,7590.0,8944.0,82.0008656012922,3.4869565217391303,27.7116202651688,0.2904983524162493,73.05888888888889,302.31,900.0,27.462777777777777,66.37006944444445,0.0,144.0,42.0,144.0,0.2916666666666667,1.0,100.0,0.018884986708236177,40.0,0.6636557234235587,Medio,0
90153,090153,GUAYAS,GUAYAQUIL,MORRO,265.025132274,123622.24934704267,-2.5886294883694916,-80.321472071061,2022,12,12370.0,29.792239288601454,0.4849636216653193,0.0,3363.0,4573.0,46.67481870063214,3.67826345524829,17.254967333709843,0.2179232870876744,73.05888888888889,302.31,478.4775000000001,27.462777777777777,66.37006944444445,0.0,144.0,42.0,144.0,0.2916666666666667,1.0,12.718228340148926,0.0040014774599698094,10.0,0.8871891096647554,Alto,1
90156,090156,GUAYAS,GUAYAQUIL,POSORJA,75.3183889258,48927.89551190565,-2.6782710692725593,-80.30556840651141,2022,12,65461.0,27.152426635706757,0.5011686347596279,0.0,18883.0,24075.0,869.1237416733513,3.466663136154213,319.64305587733054,0.39536462935749556,73.05888888888889,302.31,664.755,27.462777777777777,66.37006944444445,0.0,144.0,42.0,144.0,0.2916666666666667,1.0,16.794971466064453,0.007891441511451554,16.608370780944824,0.9890766471175189,Alto,1
90157,090157,GUAYAS,GUAYAQUIL,PUNA,882.310817665,339343.2043192812,-2.8632323389456973,-80.11625115568597,2022,12,30271.0,28.503947672690032,0.4775858081992666,0.0,8396.0,9352.0,34.30877123337441,3.6054073368270605,10.599439350352398,0.0962837851500483,73.05888888888889,302.31,664.755,27.462777777777777,66.37006944444445,1.0,144.0,42.0,144.0,0.2916666666666667,1.0,17.499065399169922,0.0029235356638522905,3.248826026916504,0.8763994731742104,Alto,1
90158,090158,GUAYAS,GUAYAQUIL,TENGUEL,138.853053679,67804.53933386653,-2.9981823203758977,-79.7932641249861,2022,12,23124.0,30.41325030271579,0.49576197889638474,0.0,7663.0,9221.0,166.5357684783655,3.0176171212318934,66.40833424749214,0.3795314414387851,73.05888888888889,302.31,566.1375,27.462777777777777,66.37006944444445,1.0,144.0,42.0,144.0,0.2916666666666667,1.0,9.469717025756836,0.001277196335808384,2.8371973037719727,0.981901183560952,Alto,1
90250,090250,GUAYAS,ALFREDO BAQUERIZO MORENO,ALFREDO BAQUERIZO MORENO (JUJAN),218.655799349,82419.32599557527,-1.9197925815745067,-79.5334107931199,2022,12,50516.0,30.999307150209834,0.5014846781217832,0.23574709003088132,16679.0,19645.0,231.0297744235478,3.0287187481263866,89.84440412048849,0.40449461775932,87.58694444444444,261.33,913.125,23.380555555555556,71.931875,1.0,144.0,20.0,144.0,0.1388888888888889,1.0,4.2161102294921875,0.000865529460146194,1.9194378852844238,0.7575897734113858,Medio,0
90350,090350,GUAYAS,BALAO,BALAO,409.230586976,118128.9963340511,-2.9041894754661874,-79.76889935064719,2022,12,50821.0,28.251490525570137,0.49412644379292026,0.5033352354341709,15185.0,20103.0,124.18670944305657,3.346789594995061,49.12389405823904,0.3685232753994308,52.139583333333334,177.069,566.1375,24.545069444444447,76.15465277777778,1.0,144.0,10.0,144.0,0.06944444444444445,0.0,19.72002410888672,0.001858696994101454,4.021690368652344,0.19805802297989425,Bajo,0
90450,090450,GUAYAS,BALZAR,BALZAR,1187.98579198,304185.75232895144,-1.272881814394883,-79.84967062919269,2022,12,114581.0,30.2010804583657,0.5031287909862892,0.5664289890994144,36017.0,44453.0,96.44980670099547,3.181303273454202,37.41879768268169,0.1613404908414219,82.07895833333333,304.29449999999997,865.6425,27.544444444444444,66.24006944444444,1.0,144.0,13.0,144.0,0.09027777777777778,0.0,38.72437286376953,0.00473682465792556,10.0,0.07750434238871934,Bajo,0
90550,090550,GUAYAS,COLIMES,COLIMES,545.244005613,158701.2203106867,-1.5334749054757113,-80.0854797428374,2022,12,40451.0,30.825665620133,0.4891350028429458,0.3729697658895948,13075.0,15901.0,74.18880278110029,3.0937667304015295,29.163089985965136,0.2720446761332671,82.07895833333333,304.29449999999997,865.6425,27.544444444444444,66.24006944444444,1.0,144.0,8.0,144.0,0.05555555555555555,0.0,42.704444885253906,0.002995601958187882,5.784690856933594,0.2768911905482718,Medio,0
