codigo,provincia,canton,parroquia,latitud,longitud,superficie_km2,anio,mes,probabilidad_inundacion,prediccion_inundacion,riesgo_categoria
92150,GUAYAS,PLAYAS,GENERAL VILLAMIL (PLAYAS),-2.57046377583366,-80.4196771400095,268.422138338,2022,12,0.311779755500533,0,Medio
91950,GUAYAS,SALITRE,EL SALITRE (LAS RAMAS),-1.839847167263775,-79.82076038783444,131.152591725,2022,12,0.46272515827298843,0,Medio
91951,GUAYAS,SALITRE,GRAL. VERNAZA (DOS ESTEROS),-1.766728790981801,-79.78646841518088,83.1507390668,2022,12,0.8401986769848409,1,Alto
91953,GUAYAS,SALITRE,JUNQUILLAL,-1.7199140862784104,-79.85975649677299,97.6800553553,2022,12,0.6283974162428928,0,Medio
91952,GUAYAS,SALITRE,LA VICTORIA (ÑAUZA),-1.8826322643965023,-79.72938797719371,81.5885842641,2022,12,0.9639531599028345,1,Alto
91650,GUAYAS,SAMBORONDON,SAMBORONDON,-2.0078420412669713,-79.78371662416168,222.972067759,2022,12,0.2792794025454505,0,Bajo
91651,GUAYAS,SAMBORONDON,TARIFA,-1.947399654363635,-79.82153570863203,136.091861673,2022,12,0.9698259936015247,1,Alto
92053,GUAYAS,SAN JACINTO DE YAGUACHI,GRAL. PEDRO J. MONTERO (BOLICHE),-2.2664866442337135,-79.57439241218795,75.2837185448,2022,12,0.731668332186875,1,Alto
92050,GUAYAS,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,-2.0567412351405165,-79.72548850883621,272.555821693,2022,12,0.16494558751036262,0,Bajo
92056,GUAYAS,SAN JACINTO DE YAGUACHI,VIRGEN DE FATIMA,-2.2933698898442914,-79.68429138064285,53.0273655829,2022,12,0.8275434692552849,1,Alto
92055,GUAYAS,SAN JACINTO DE YAGUACHI,YAGUACHI VIEJO (CONE),-2.184096378025563,-79.64766876070414,108.713504554,2022,12,0.6543367742859246,0,Medio
91850,GUAYAS,SANTA LUCIA,SANTA LUCIA,-1.6857264260334732,-80.06001301380547,357.863164278,2022,12,0.5933408179275109,0,Medio
92251,GUAYAS,SIMON BOLIVAR,CRNEL. LORENZO DE GARAICOA (PEDREGAL),-2.0617468404236896,-79.3612415712681,163.404666895,2022,12,0.20815765701728653,0,Bajo
92250,GUAYAS,SIMON BOLIVAR,SIMON BOLIVAR,-1.9730289030565207,-79.42829947287773,128.201285975,2022,12,0.38800643725279244,0,Medio
